file_name,runtime,maxN,entries,runner,date,machine
v06,0.02,2,1,python3,2019-09-07,mbp2012
v06,0.02,2,1,python3,2019-09-07,mbp2012
v06,0.02,2,1,python3,2019-09-07,mbp2012
v06,0.02,2,1,python3,2019-09-07,mbp2012
v06,0.02,2,1,python3,2019-09-07,mbp2012
v06,0.02,4,1,python3,2019-09-07,mbp2012
v06,0.02,4,1,python3,2019-09-07,mbp2012
v06,0.02,4,1,python3,2019-09-07,mbp2012
v06,0.02,4,1,python3,2019-09-07,mbp2012
v06,0.02,4,1,python3,2019-09-07,mbp2012
v06,0.02,8,1,python3,2019-09-07,mbp2012
v06,0.02,8,1,python3,2019-09-07,mbp2012
v06,0.02,8,1,python3,2019-09-07,mbp2012
v06,0.02,8,1,python3,2019-09-07,mbp2012
v06,0.02,8,1,python3,2019-09-07,mbp2012
v06,0.02,16,1,python3,2019-09-07,mbp2012
v06,0.02,16,1,python3,2019-09-07,mbp2012
v06,0.02,16,1,python3,2019-09-07,mbp2012
v06,0.02,16,1,python3,2019-09-07,mbp2012
v06,0.02,16,1,python3,2019-09-07,mbp2012
v06,0.02,32,1,python3,2019-09-07,mbp2012
v06,0.02,32,1,python3,2019-09-07,mbp2012
v06,0.02,32,1,python3,2019-09-07,mbp2012
v06,0.02,32,1,python3,2019-09-07,mbp2012
v06,0.02,32,1,python3,2019-09-07,mbp2012
v06,0.03,64,1,python3,2019-09-07,mbp2012
v06,0.03,64,1,python3,2019-09-07,mbp2012
v06,0.03,64,1,python3,2019-09-07,mbp2012
v06,0.03,64,1,python3,2019-09-07,mbp2012
v06,0.03,64,1,python3,2019-09-07,mbp2012
v06,0.07,128,1,python3,2019-09-07,mbp2012
v06,0.07,128,1,python3,2019-09-07,mbp2012
v06,0.07,128,1,python3,2019-09-07,mbp2012
v06,0.07,128,1,python3,2019-09-07,mbp2012
v06,0.07,128,1,python3,2019-09-07,mbp2012
v06,0.37,256,1,python3,2019-09-07,mbp2012
v06,0.37,256,1,python3,2019-09-07,mbp2012
v06,0.37,256,1,python3,2019-09-07,mbp2012
v06,0.37,256,1,python3,2019-09-07,mbp2012
v06,0.37,256,1,python3,2019-09-07,mbp2012
v06,3.06,512,1,python3,2019-09-07,mbp2012
v06,3.06,512,1,python3,2019-09-07,mbp2012
v06,3.06,512,1,python3,2019-09-07,mbp2012
v06,3.07,512,1,python3,2019-09-07,mbp2012
v06,3.06,512,1,python3,2019-09-07,mbp2012
v06,24.43,1024,1,python3,2019-09-07,mbp2012
v06,24.46,1024,1,python3,2019-09-07,mbp2012
v06,24.44,1024,1,python3,2019-09-07,mbp2012
v06,24.43,1024,1,python3,2019-09-07,mbp2012
v06,24.45,1024,1,python3,2019-09-07,mbp2012
v06,194.82,2048,1,python3,2019-09-07,mbp2012
v06,194.77,2048,1,python3,2019-09-07,mbp2012
v06,0.14,2,1,pypy3,2019-09-07,mbp2012
v06,0.14,2,1,pypy3,2019-09-07,mbp2012
v06,0.14,2,1,pypy3,2019-09-07,mbp2012
v06,0.14,2,1,pypy3,2019-09-07,mbp2012
v06,0.14,2,1,pypy3,2019-09-07,mbp2012
v06,0.14,4,1,pypy3,2019-09-07,mbp2012
v06,0.14,4,1,pypy3,2019-09-07,mbp2012
v06,0.14,4,1,pypy3,2019-09-07,mbp2012
v06,0.14,4,1,pypy3,2019-09-07,mbp2012
v06,0.14,4,1,pypy3,2019-09-07,mbp2012
v06,0.14,8,1,pypy3,2019-09-07,mbp2012
v06,0.14,8,1,pypy3,2019-09-07,mbp2012
v06,0.14,8,1,pypy3,2019-09-07,mbp2012
v06,0.14,8,1,pypy3,2019-09-07,mbp2012
v06,0.14,8,1,pypy3,2019-09-07,mbp2012
v06,0.14,16,1,pypy3,2019-09-07,mbp2012
v06,0.14,16,1,pypy3,2019-09-07,mbp2012
v06,0.14,16,1,pypy3,2019-09-07,mbp2012
v06,0.14,16,1,pypy3,2019-09-07,mbp2012
v06,0.14,16,1,pypy3,2019-09-07,mbp2012
v06,0.14,32,1,pypy3,2019-09-07,mbp2012
v06,0.14,32,1,pypy3,2019-09-07,mbp2012
v06,0.14,32,1,pypy3,2019-09-07,mbp2012
v06,0.14,32,1,pypy3,2019-09-07,mbp2012
v06,0.14,32,1,pypy3,2019-09-07,mbp2012
v06,0.14,64,1,pypy3,2019-09-07,mbp2012
v06,0.15,64,1,pypy3,2019-09-07,mbp2012
v06,0.14,64,1,pypy3,2019-09-07,mbp2012
v06,0.14,64,1,pypy3,2019-09-07,mbp2012
v06,0.14,64,1,pypy3,2019-09-07,mbp2012
v06,0.15,128,1,pypy3,2019-09-07,mbp2012
v06,0.15,128,1,pypy3,2019-09-07,mbp2012
v06,0.14,128,1,pypy3,2019-09-07,mbp2012
v06,0.14,128,1,pypy3,2019-09-07,mbp2012
v06,0.15,128,1,pypy3,2019-09-07,mbp2012
v06,0.15,256,1,pypy3,2019-09-07,mbp2012
v06,0.15,256,1,pypy3,2019-09-07,mbp2012
v06,0.15,256,1,pypy3,2019-09-07,mbp2012
v06,0.15,256,1,pypy3,2019-09-07,mbp2012
v06,0.15,256,1,pypy3,2019-09-07,mbp2012
v06,0.19,512,1,pypy3,2019-09-07,mbp2012
v06,0.2,512,1,pypy3,2019-09-07,mbp2012
v06,0.2,512,1,pypy3,2019-09-07,mbp2012
v06,0.19,512,1,pypy3,2019-09-07,mbp2012
v06,0.19,512,1,pypy3,2019-09-07,mbp2012
v06,0.46,1024,1,pypy3,2019-09-07,mbp2012
v06,0.46,1024,1,pypy3,2019-09-07,mbp2012
v06,0.46,1024,1,pypy3,2019-09-07,mbp2012
v06,0.46,1024,1,pypy3,2019-09-07,mbp2012
v06,0.46,1024,1,pypy3,2019-09-07,mbp2012
v06,2.53,2048,1,pypy3,2019-09-07,mbp2012
v06,2.52,2048,1,pypy3,2019-09-07,mbp2012
v06,2.52,2048,1,pypy3,2019-09-07,mbp2012
v06,2.52,2048,1,pypy3,2019-09-07,mbp2012
v06,2.53,2048,1,pypy3,2019-09-07,mbp2012
v06,18.93,4096,1,pypy3,2019-09-07,mbp2012
v06,18.92,4096,1,pypy3,2019-09-07,mbp2012
v06,18.93,4096,1,pypy3,2019-09-07,mbp2012
v06,18.93,4096,1,pypy3,2019-09-07,mbp2012
v06,18.93,4096,1,pypy3,2019-09-07,mbp2012
v06,149.62,8192,1,pypy3,2019-09-07,mbp2012
v06,149.62,8192,1,pypy3,2019-09-07,mbp2012
v06,149.63,8192,1,pypy3,2019-09-07,mbp2012
v07,0.03,2,1,python3,2019-09-07,mbp2012
v07,0.02,2,1,python3,2019-09-07,mbp2012
v07,0.02,2,1,python3,2019-09-07,mbp2012
v07,0.02,2,1,python3,2019-09-07,mbp2012
v07,0.02,2,1,python3,2019-09-07,mbp2012
v07,0.02,4,1,python3,2019-09-07,mbp2012
v07,0.02,4,1,python3,2019-09-07,mbp2012
v07,0.02,4,1,python3,2019-09-07,mbp2012
v07,0.02,4,1,python3,2019-09-07,mbp2012
v07,0.02,4,1,python3,2019-09-07,mbp2012
v07,0.02,8,1,python3,2019-09-07,mbp2012
v07,0.02,8,1,python3,2019-09-07,mbp2012
